dataset_id,N
102,18
103,42
105,21
110,40
115,35
118,53
119,22
12,58
131,48
141,50
151,49
153,60
155,32
161,52
165,65
176,58
177,62
185,62
188,51
198,18
200,12
204,65
205,67
209,24
21,19
211,65
212,18
217,16
218,27
227,63
23,36
242,8
246,15
251,19
256,61
272,59
287,51
29,62
290,56
294,33
297,23
300,55
301,22
306,56
310,36
314,40
321,59
325,32
335,59
338,38
348,42
352,59
354,27
361,32
367,54
370,15
383,59
386,21
39,55
391,14
397,66
401,51
42,33
421,24
428,37
429,24
43,43
430,52
435,16
437,56
439,46
440,59
446,15
447,51
451,15
453,13
461,19
462,20
465,64
469,69
482,29
483,61
490,60
491,51
495,59
498,64
499,20
505,20
506,9
507,61
66,22
74,57
75,37
79,42
9,59
92,44
