dataset_id,model,train_mse,test_mse
102,GradientBoosting,0.0011262889501093508,0.015940111218613873
103,RandomForest,0.0028549852167433364,0.025461813772739962
105,RandomForest,0.014137144458440125,0.038429468604253926
110,GradientBoosting,0.009299894323833904,0.0132404727755247
115,GradientBoosting,0.0020532214892823313,0.0067444344481063165
118,SVR,0.007634226125761972,0.008074667076829828
119,GradientBoosting,0.00010485583959170707,
12,GradientBoosting,0.04183569754781263,0.0678678172500027
131,SVR,0.008858031253342339,0.015220244846673836
141,RandomForest,0.01740159762728085,0.12076961096239014
151,SVR,0.004000811074517936,0.0029027927613036104
153,SVR,0.004686994143534282,0.0036620796804943904
155,RandomForest,0.011266165955872261,0.024957014410252443
161,GradientBoosting,0.030779389432199974,0.08193572304358006
165,SVR,0.011091077045944375,0.00953803992506692
176,SVR,0.08159101968485834,0.15920044779181025
177,SVR,0.004020918801795032,0.0028396078967850642
185,SVR,0.006596164338022874,0.001093264026986575
188,GradientBoosting,0.0015378009406381056,0.12446291294055153
198,RandomForest,0.009754618153067903,2.1311374888873242
200,SVR,0.011702011906450146,0.014361603296961074
204,RandomForest,0.02270661213571206,0.05367704225047657
205,GradientBoosting,0.03624160287125529,0.01640112825228031
209,RandomForest,0.009931187974348141,1.813989530827514
21,GradientBoosting,0.0074880910971855145,0.1634684074710938
211,RandomForest,0.009755958490977336,0.01139647383739733
212,SVR,0.010847114662778472,0.010465337296242749
217,RandomForest,0.042390633422621525,0.8905882329600864
218,RandomForest,0.009589698190904928,2.06378435683893
227,GradientBoosting,0.04047638101011575,0.0180686781969825
23,RandomForest,0.011328601601027744,0.046996360175201084
242,GradientBoosting,0.011335776498108852,0.010790467053650244
246,SVR,0.009855944607295252,0.014563714200559706
251,SVR,0.03267609390907943,0.0111985775355731
256,GradientBoosting,0.005363292031567353,0.004629995107641502
272,RandomForest,0.0059343504597930245,0.010837439824172927
287,RandomForest,0.001982752257076589,0.01056675880208381
29,RandomForest,0.016617609158411973,0.029980821822006464
290,RandomForest,0.03797997545919799,0.07486407514339136
294,GradientBoosting,0.005680174108150128,0.010087901446857731
297,GradientBoosting,0.00044987114127262957,0.20576614228707474
300,SVR,0.06087006056516117,0.053431980577106734
301,SVR,0.028386476541248963,0.18899455951076358
306,SVR,0.028902923275301806,0.022773732171440006
310,RandomForest,0.008161713965668341,0.03194320200286901
314,SVR,0.06563568488235103,0.07989980769306167
321,RandomForest,0.006075095749595225,0.01150869751851202
325,RandomForest,0.006912703049991804,0.008724944677195125
335,SVR,0.014440412102352763,0.017562799979536674
338,GradientBoosting,0.002148237228772353,0.00420826871892352
348,GradientBoosting,0.00413378581545244,0.00538819595058986
352,RandomForest,0.000675198538763942,0.0023482259179223195
354,GradientBoosting,0.03756583031149843,0.04349250805007464
361,RandomForest,0.006479904670528771,0.008484769744503906
367,GradientBoosting,0.058998518664941976,0.07142715153136271
370,GradientBoosting,0.01578208528690391,0.05649300346496085
383,SVR,0.0068708422336293,0.008481181575599366
386,GradientBoosting,0.009901277938057621,0.010714161163290272
39,GradientBoosting,0.008612171387766284,0.011221249809516408
391,GradientBoosting,0.037657002081657315,0.05219003326038153
397,RandomForest,0.04204114695638774,0.13197219846798147
401,SVR,0.0054434779363421015,0.005800381102166239
42,SVR,0.11704394647342524,0.08272922832232217
421,SVR,0.05669179420908874,0.19150093473759672
428,GradientBoosting,0.029295614279616338,0.0743843215259374
429,RandomForest,0.018134517034469732,0.08949954853514927
43,SVR,0.025113018013537942,0.01619388920058113
430,SVR,0.03522198249671292,0.20648233272316258
435,RandomForest,0.011200110921294935,0.025522211750044474
437,RandomForest,0.022182823412093794,0.07923983964722968
439,SVR,0.03648441353347596,0.019023685289513686
440,SVR,0.004599568031370597,0.001575660939482452
446,SVR,0.07098657669961542,0.2539217119712017
447,RandomForest,0.002128024823645533,0.0196993707226638
451,GradientBoosting,0.05108043237762398,0.04655868887496331
453,GradientBoosting,0.041900630838317694,0.6213153903603211
461,GradientBoosting,0.02208224062776807,0.06687662774015266
462,RandomForest,0.01829329897406451,0.06538723556010832
465,GradientBoosting,0.02757815130460972,0.05707660392048429
469,GradientBoosting,0.0001747105922389534,0.0025628622761609964
482,RandomForest,0.02642136874788742,0.010826082130514171
483,RandomForest,0.006005776929932371,0.0042499111602238345
490,RandomForest,0.013558543846456517,0.0187257071760808
491,RandomForest,0.043880285370470694,0.053643270058763785
495,RandomForest,0.005732676364195848,0.011068705739572244
498,SVR,0.05882698448463668,0.055568121455803116
499,SVR,0.06078063908835557,0.06341983062928845
505,SVR,0.05207791218419032,0.019736590822442914
506,GradientBoosting,0.00821815420099382,0.19313869392554342
507,GradientBoosting,0.04916076217367792,0.03780674895088799
66,GradientBoosting,0.0003096855556955763,0.02246196596090918
74,GradientBoosting,0.006231481575144181,0.0127220740948227
75,GradientBoosting,0.015516796140596242,0.11405194316655115
79,RandomForest,0.013034697367035934,0.10387119187982002
9,RandomForest,0.007534810182906966,0.011312780505534917
92,GradientBoosting,0.014267718206824943,0.06305218369993917
